States	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002				
AL	796	777	732	812	770	675	662	650	750	762	663	640				
AK	76	70	83	87	81	55	51	58	66	59	62	56				
AZ	1345	1260	1128	1208	1381	1172	912	902	917	830	749	735				
AR	504	584	545	440	538	431	387	487	382	412	474	532				
CA	5675	6015	6352	6073	5638	5344	4589	4427	4716	4724	4634	4605				
CO	560	613	661	615	613	541	478	466	530	450	436	436				
CT	400	363	356	303	292	276	309	275	326	352	278	279				
DE	127	121	123	109	109	82	80	80	78	74	60	73				
DC	139	116	123	118	107	98	104	104	115	93	92	97				
FL	2888	2926	2822	3006	2676	2370	2250	2068	1975	2028	2148	2058				
GA	1592	1752	1783	1814	1775	1477	1294	1172	1298	1132	1014	939				
HI	152	188	162	162	156	125	94	116	110	106	117	138				
ID	205	229	248	213	209	185	149	141	143	136	138	147				
IL	1695	1608	1807	1798	1690	1564	1262	1338	1441	1546	1592	1594				
IN	743	964	989	1041	1023	901	740	674	774	712	610	552				
IA	330	310	315	307	319	285	264	301	327	316	260	267				
KS	373	397	402	400	374	346	319	349	337	304	288	269				
KY	871	776	689	754	727	724	653	690	599	723	589	571				
LA	863	944	947	949	636	788	673	713	748	744	750	777				
ME	161	170	178	164	148	158	142	134	166	149	149	170				
MD	611	585	537	628	543	481	491	469	542	550	472	400				
MA	784	743	688	711	717	727	707	758	641	594	652	648				
MI	1428	1331	1449	1530	1376	1273	1076	1323	1196	1318	1125	1152				
MN	649	534	528	563	576	506	482	422	412	356	376	325				
MS	657	636	510	658	658	525	655	596	571	536	456	513				
MO	824	905	910	890	926	780	742	659	659	686	602	551				
MT	145	134	163	142	131	125	122	125	128	129	139	122				
NE	202	226	187	184	176	188	174	180	167	163	168	181				
NV	480	433	414	446	343	278	250	241	260	260	244	188				
NH	119	106	99	84	103	91	76	71	73	71	73	73				
NJ	984	814	988	966	806	787	742	762	592	693	741	681				
NM	454	420	451	372	381	381	271	328	347	314	338	328				
NY	2825	3328	3085	3062	3018	2734	2757	2668	2760	2847	2707	2690				
NC	1793	1652	1459	1633	1576	1285	1423	1225	1115	1229	1289	1165				
ND	71	79	67	82	69	74	57	70	70	61	61	73				
OH	1571	1751	1708	1746	1526	1557	1446	1371	1392	1304	1226	1099				
OK	518	668	522	603	468	484	476	531	543	373	440	489				
OR	593	523	553	537	510	403	481	439	436	421	446	380				
PA	1576	1756	1604	1535	1376	1335	1273	1397	1372	1383	1279	1152				
RI	142	141	139	146	134	132	99	110	127	122	121	116				
SC	745	779	874	773	618	624	617	474	626	615	516	568				
SD	85	106	117	109	113	104	74	82	90	102	95	85				
TN	1170	1194	1030	1052	1031	924	906	879	872	932	829	839				
TX	4425	4444	4458	4633	4262	3834	3903	3816	3681	3669	3705	3362				
UT	239	312	309	278	270	209	255	235	232	241	213	228				
VT	54	69	71	67	58	55	61	48	47	48	52	61				
VA	854	850	907	835	831	799	664	651	684	693	740	702				
WA	819	796	854	779	781	680	661	502	636	700	766	657				
WV	315	301	318	306	285	260	265	277	276	254	310	293				
WI	618	640	743	567	599	544	601	555	553	676	528	467				
WY	68	56	60	53	50	54	56	51	54	50	48	44				
