States	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002
AL	16.7	16.2	15.4	17.2	16.6	14.3	14.5	14.3	16.7	16.9	15.0	14.5
AK	10.9	10.0	11.7	12.5	11.7	8.2	7.6	8.9	10.0	9.1	9.6	8.8
AZ	20.2	19.0	17.2	18.8	21.2	18.0	14.3	14.4	15.2	14.4	13.5	13.5
AR	17.1	20.1	18.7	15.3	18.9	15.3	13.8	17.7	13.8	15.1	17.8	19.8
CA	14.9	15.9	16.9	16.3	15.3	14.6	12.7	12.2	13.2	13.2	13.1	13.1
CO	10.6	11.9	13.2	12.3	12.3	11.0	9.8	9.7	11.4	10.0	9.7	9.8
CT	11.3	10.3	10.1	8.6	8.4	8.1	8.9	8.0	9.3	10.1	8.1	8.3
DE	14	13.5	13.7	12.2	12.3	9.6	9.3	9.3	9.2	9.0	7.3	9.1
DC	21.3	18.4	19.9	19.5	17.9	16.5	18.0	18.3	21.3	17.0	16.8	17.0
FL	14.9	15.3	14.9	16.0	14.6	13.1	12.5	11.5	11.1	11.6	12.7	12.6
GA	16.3	18.1	18.4	18.8	18.4	15.5	13.6	12.6	14.4	13.0	11.9	11.2
HI	11.1	13.8	12.1	12.4	12.5	9.9	7.5	9.2	8.6	8.6	9.3	11.3
ID	12.9	14.4	15.7	13.8	13.7	12.2	9.9	9.5	9.9	9.9	10.2	11.3
IL	13.3	12.6	14.2	14.1	13.2	12.3	10.0	10.6	11.5	12.3	12.6	12.8
IN	11.6	15.2	15.6	16.3	16.1	14.3	11.8	10.6	12.6	11.6	9.9	9.1
IA	10.8	10.3	10.4	10.3	10.7	9.5	8.9	10.3	11.3	10.9	8.9	9.2
KS	13.2	14.0	14.3	14.5	13.7	12.7	11.7	12.8	12.5	11.4	10.8	10.1
KY	20	17.9	16.0	17.7	17.0	17.1	15.5	16.8	14.8	17.8	14.4	14.2
LA	19.2	21.1	21.1	21.5	14.3	18.2	16.1	17.0	18.3	16.8	17.0	17.5
ME	12.3	12.8	13.4	12.6	11.4	12.0	10.9	10.2	12.6	11.6	11.6	13.4
MD	10.3	9.9	9.3	10.9	9.6	8.7	8.8	8.4	9.7	9.9	8.6	7.4
MA	11.9	11.3	10.6	10.9	10.8	11.3	11.2	12.0	10.1	9.3	10.3	10.0
MI	14.5	13.7	15.0	15.7	14.0	13.0	10.8	13.3	12.0	13.3	11.4	11.6
MN	12	10.0	10.0	10.8	11.1	9.9	9.3	8.2	8.1	7.0	7.4	6.5
MS	22.5	22.0	17.4	22.5	23.1	18.1	22.6	20.6	20.1	18.7	16.0	18.4
MO	13.7	15.2	15.4	15.0	15.5	13.3	12.8	11.4	11.6	12.2	10.7	9.9
MT	14.5	13.4	16.5	14.5	13.5	12.9	13.0	13.5	13.8	14.2	15.1	13.5
NE	11	12.2	10.2	10.2	9.9	10.6	9.9	10.2	9.5	9.5	9.8	10.6
NV	17.4	15.8	15.5	16.6	13.0	10.8	9.7	9.5	10.6	10.9	10.9	8.9
NH	9	8.1	7.6	6.5	7.8	7.0	5.8	5.4	5.6	5.5	5.8	5.8
NJ	11.1	9.3	11.4	11.1	9.3	9.2	8.7	8.8	6.8	8.0	8.6	7.9
NM	21.7	20.4	22.2	18.3	19.3	19.3	14.0	16.9	17.9	16.5	18.1	17.9
NY	14.5	17.2	16.0	16.0	15.8	14.2	14.5	14.0	14.5	15.0	14.3	14.0
NC	18.6	17.2	15.4	17.4	16.9	13.9	15.5	13.8	13.1	14.6	15.7	14.3
ND	9.9	11.4	9.9	12.6	10.9	11.8	9.3	11.4	11.2	9.7	9.7	11.6
OH	13.7	15.4	15.1	15.4	13.3	13.7	12.8	12.1	12.3	11.6	10.9	9.8
OK	14	18.0	13.9	16.3	12.9	13.6	13.4	15.2	15.6	10.8	12.8	14.1
OR	15.1	13.5	14.4	14.3	13.4	10.6	12.8	11.8	12.0	11.8	12.5	10.9
PA	12.4	13.9	12.6	12.2	11.1	11.0	10.4	11.3	11.2	11.4	10.5	9.5
RI	13.5	13.6	13.4	14.0	13.0	12.7	9.5	10.5	12.1	11.5	11.5	11.0
SC	15.9	16.7	19.0	16.9	13.7	14.0	14.1	11.2	15.0	14.9	12.7	14.3
SD	10.3	12.8	14.5	13.6	14.1	13.1	9.4	10.7	11.8	13.5	12.7	11.5
TN	18.1	18.6	16.3	16.7	16.5	15.0	14.8	14.9	14.9	15.9	14.0	14.8
TX	16.8	17.0	17.4	18.4	17.3	15.9	16.5	16.4	16.2	16.5	17.0	15.6
UT	8.3	11.0	11.0	10.0	9.7	7.6	9.6	9.3	9.2	10.1	9.1	9.9
VT	8.7	11.2	11.6	10.8	9.4	9.0	9.9	7.8	7.6	7.8	8.5	9.9
VA	10.4	10.6	11.4	10.7	10.7	10.3	8.6	8.6	9.2	9.4	10.0	9.9
WA	12	11.6	12.5	11.6	11.7	10.4	10.2	8.0	10.2	11.4	12.6	11.0
WV	17.3	16.7	17.5	16.8	15.8	14.5	14.8	15.3	15.4	14.2	17.4	16.8
WI	11	11.4	13.1	10.1	10.8	9.8	11.0	10.1	10.2	12.4	9.8	8.6
WY	11.8	9.6	10.7	9.6	9.2	10.1	10.9	10.0	10.6	10.0	9.8	9.0
