states	number	percentage
CA	5675	0.149
TX	4425	0.168
FL	2888	0.149
NY	2825	0.145
NC	1793	0.186
IL	1695	0.133
GA	1592	0.163
PA	1576	0.124
OH	1571	0.137
MI	1428	0.145
AZ	1345	0.202
TN	1170	0.181
NJ	984	0.111
KY	871	0.200
LA	863	0.192
VA	854	0.104
MO	824	0.137
WA	819	0.120
AL	796	0.167
MA	784	0.119
SC	745	0.159
IN	743	0.116
MS	657	0.225
MN	649	0.120
WI	618	0.110
MD	611	0.103
OR	593	0.151
CO	560	0.106
OK	518	0.140
AR	504	0.171
NV	480	0.174
NM	454	0.217
CT	400	0.113
KS	373	0.132
IA	330	0.108
WV	315	0.173
UT	239	0.083
ID	205	0.129
NE	202	0.110
ME	161	0.123
HI	152	0.111
MT	145	0.145
RI	142	0.135
DC	139	0.213
DE	127	0.140
NH	119	0.090
SD	85	0.103
AK	76	0.109
ND	71	0.099
WY	68	0.118
VT	54	0.087
